Timestamp,ImageFilename,RecognizedText
2025-06-04 09:35:56,plate_20250604_093556_951602_0001.jpg,P ND D7 874,100
2025-06-04 09:36:05,plate_20250604_093605_528125_0002.jpg,WP 8744,90
2025-06-04 09:36:07,plate_20250604_093607_407140_0003.jpg,MP D7 ND 8740,100
2025-06-04 09:36:08,plate_20250604_093608_917279_0004.jpg,WP NI 8744,90
2025-06-04 10:04:56,plate_20250604_100456_099602_0000.jpg,ND5874,100
2025-06-04 10:05:21,plate_20250604_100521_840638_0001.jpg,ND 874,80
2025-06-04 10:05:31,plate_20250604_100531_849150_0002.jpg,ND 8740,90
2025-06-04 10:05:40,plate_20250604_100540_881800_0003.jpg,D 8740,90
2025-06-04 10:58:21,plate_20250604_105821_572644_0000.jpg,L36036,100
2025-06-04 10:58:28,plate_20250604_105828_748440_0001.jpg,L76030,100
2025-06-04 10:58:33,plate_20250604_105833_771958_0002.jpg,L7 6036,100
2025-06-04 11:11:24,plate_20250604_111124_268467_0000.jpg,LA6036,100
2025-06-04 11:21:22,plate_20250604_112122_880283_0000.jpg,6036,65
2025-06-04 11:21:36,plate_20250604_112136_401517_0001.jpg,L 6036,90
2025-06-04 11:21:47,plate_20250604_112147_981127_0002.jpg,KL3603,100
2025-06-04 11:21:59,plate_20250604_112159_246622_0003.jpg,L 6036,90
2025-06-04 11:22:16,plate_20250604_112216_008858_0004.jpg,L36036,100
2025-06-04 11:22:27,plate_20250604_112227_829381_0005.jpg,L6036,100
2025-06-04 11:22:38,plate_20250604_112238_936206_0006.jpg,KL7603E,100
2025-06-04 11:22:50,plate_20250604_112250_390899_0007.jpg,L76036,100
2025-06-04 11:23:06,plate_20250604_112306_243803_0008.jpg,6036 KLI,90
2025-06-04 11:23:18,plate_20250604_112318_271694_0009.jpg,KLZ6036,100
2025-06-04 11:23:30,plate_20250604_112330_618453_0010.jpg,L360365,100
2025-06-04 11:23:41,plate_20250604_112341_684449_0011.jpg,KLR6036,100
2025-06-04 14:02:50,plate_20250604_140250_202426_0000.jpg,EKL60,85
2025-06-04 14:03:05,plate_20250604_140305_910397_0001.jpg,D6030,65
2025-06-04 14:09:40,plate_20250604_140940_141071_0000.jpg,KLZ60301,100
2025-06-04 14:10:24,plate_20250604_141024_879604_0001.jpg,MKL 603,115
2025-06-04 14:10:40,plate_20250604_141040_050783_0002.jpg,6036 LZ,115
2025-06-04 14:10:51,plate_20250604_141051_173108_0003.jpg,GKLZ603,100
2025-06-04 14:11:02,plate_20250604_141102_198925_0004.jpg,KLG6036 N,100
2025-06-04 14:11:17,plate_20250604_141117_692117_0005.jpg,60361,70
2025-06-04 14:11:28,plate_20250604_141128_842448_0006.jpg,MKLZ603,100
2025-06-04 14:11:40,plate_20250604_141140_750578_0007.jpg,KLG60 M,100
2025-06-04 14:11:51,plate_20250604_141151_963674_0008.jpg,MKLZ603E,100
